instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_celcius,hum_percent,windspeed_kmh,temp_group,hum_group,windspeed_group
2832,2011-05-02,2,0,5,21,0,1,1,2,0.6,0.5909,0.73,0.1045,54,178,232,24.6,73.0,7.0,Tinggi,Tinggi,Rendah
2833,2011-05-02,2,0,5,22,0,1,1,2,0.6,0.5909,0.73,0.0,28,97,125,24.6,73.0,0.0,Tinggi,Tinggi,Rendah
2834,2011-05-02,2,0,5,23,0,1,1,2,0.56,0.5303,0.83,0.194,16,48,64,23.0,83.0,13.0,Tinggi,Sangat Tinggi,Sedang
2835,2011-05-03,2,0,5,0,0,2,1,2,0.56,0.5303,0.83,0.2239,0,16,16,23.0,83.0,15.0,Tinggi,Sangat Tinggi,Tinggi
2836,2011-05-03,2,0,5,1,0,2,1,2,0.56,0.5303,0.78,0.2537,0,14,14,23.0,78.0,17.0,Tinggi,Tinggi,Tinggi
2837,2011-05-03,2,0,5,2,0,2,1,2,0.56,0.5303,0.78,0.2537,0,5,5,23.0,78.0,17.0,Tinggi,Tinggi,Tinggi
2838,2011-05-03,2,0,5,3,0,2,1,1,0.54,0.5152,0.83,0.2836,0,2,2,22.1,83.0,19.0,Tinggi,Sangat Tinggi,Sangat Tinggi
2839,2011-05-03,2,0,5,4,0,2,1,1,0.52,0.5,0.88,0.2239,3,1,4,21.3,88.0,15.0,Tinggi,Sangat Tinggi,Tinggi
2840,2011-05-03,2,0,5,5,0,2,1,1,0.52,0.5,0.88,0.1343,0,14,14,21.3,88.0,9.0,Tinggi,Sangat Tinggi,Sedang
2841,2011-05-03,2,0,5,6,0,2,1,2,0.52,0.5,0.94,0.1642,7,102,109,21.3,94.0,11.0,Tinggi,Sangat Tinggi,Sedang
2842,2011-05-03,2,0,5,7,0,2,1,2,0.54,0.5152,0.88,0.2239,17,248,265,22.1,88.0,15.0,Tinggi,Sangat Tinggi,Tinggi
2843,2011-05-03,2,0,5,8,0,2,1,2,0.56,0.5303,0.83,0.2836,24,435,459,23.0,83.0,19.0,Tinggi,Sangat Tinggi,Sangat Tinggi
2844,2011-05-03,2,0,5,9,0,2,1,2,0.6,0.5758,0.78,0.3582,29,157,186,24.6,78.0,24.0,Tinggi,Tinggi,Sangat Tinggi
2845,2011-05-03,2,0,5,10,0,2,1,2,0.64,0.6061,0.69,0.3582,36,91,127,26.2,69.0,24.0,Tinggi,Tinggi,Sangat Tinggi
2846,2011-05-03,2,0,5,11,0,2,1,2,0.66,0.6212,0.65,0.3284,20,120,140,27.1,65.0,22.0,Tinggi,Tinggi,Sangat Tinggi
2847,2011-05-03,2,0,5,12,0,2,1,2,0.68,0.6364,0.61,0.4925,48,169,217,27.9,61.0,33.0,Sangat Tinggi,Sedang,Sangat Tinggi
2848,2011-05-03,2,0,5,13,0,2,1,2,0.7,0.6515,0.58,0.6119,50,144,194,28.7,58.0,41.0,Sangat Tinggi,Sedang,Sangat Tinggi
2849,2011-05-03,2,0,5,14,0,2,1,2,0.7,0.6515,0.58,0.5224,36,122,158,28.7,58.0,35.0,Sangat Tinggi,Sedang,Sangat Tinggi
2850,2011-05-03,2,0,5,15,0,2,1,2,0.7,0.6515,0.58,0.4478,37,117,154,28.7,58.0,30.0,Sangat Tinggi,Sedang,Sangat Tinggi
2851,2011-05-03,2,0,5,16,0,2,1,1,0.72,0.6667,0.54,0.4627,46,225,271,29.5,54.0,31.0,Sangat Tinggi,Sedang,Sangat Tinggi
2852,2011-05-03,2,0,5,17,0,2,1,1,0.7,0.6515,0.54,0.4627,53,464,517,28.7,54.0,31.0,Sangat Tinggi,Sedang,Sangat Tinggi
2853,2011-05-03,2,0,5,18,0,2,1,1,0.7,0.6515,0.48,0.4179,59,485,544,28.7,48.0,28.0,Sangat Tinggi,Rendah,Sangat Tinggi
2854,2011-05-03,2,0,5,19,0,2,1,1,0.68,0.6364,0.57,0.3582,42,323,365,27.9,57.0,24.0,Sangat Tinggi,Sedang,Sangat Tinggi
2855,2011-05-03,2,0,5,20,0,2,1,1,0.66,0.6212,0.61,0.194,28,262,290,27.1,61.0,13.0,Tinggi,Sedang,Sedang
2856,2011-05-03,2,0,5,21,0,2,1,2,0.64,0.6212,0.61,0.4478,42,183,225,26.2,61.0,30.0,Tinggi,Sedang,Sangat Tinggi
2857,2011-05-03,2,0,5,22,0,2,1,2,0.58,0.5455,0.6,0.3881,14,99,113,23.8,60.0,26.0,Tinggi,Sedang,Sangat Tinggi
2858,2011-05-03,2,0,5,23,0,2,1,2,0.56,0.5303,0.68,0.3284,12,50,62,23.0,68.0,22.0,Tinggi,Tinggi,Sangat Tinggi
2859,2011-05-04,2,0,5,0,0,3,1,3,0.52,0.5,0.77,0.1642,5,22,27,21.3,77.0,11.0,Tinggi,Tinggi,Sedang
2860,2011-05-04,2,0,5,1,0,3,1,3,0.5,0.4848,0.82,0.2836,1,6,7,20.5,82.0,19.0,Sedang,Sangat Tinggi,Sangat Tinggi
2861,2011-05-04,2,0,5,2,0,3,1,3,0.5,0.4848,0.82,0.2836,0,4,4,20.5,82.0,19.0,Sedang,Sangat Tinggi,Sangat Tinggi
2862,2011-05-04,2,0,5,3,0,3,1,3,0.42,0.4242,0.88,0.5224,0,1,1,17.2,88.0,35.0,Sedang,Sangat Tinggi,Sangat Tinggi
2863,2011-05-04,2,0,5,4,0,3,1,3,0.38,0.3939,0.94,0.3284,1,2,3,15.6,94.0,22.0,Sedang,Sangat Tinggi,Sangat Tinggi
2864,2011-05-04,2,0,5,5,0,3,1,3,0.36,0.3333,0.87,0.3284,1,8,9,14.8,87.0,22.0,Sedang,Sangat Tinggi,Sangat Tinggi
2865,2011-05-04,2,0,5,6,0,3,1,3,0.34,0.303,0.93,0.3881,0,21,21,13.9,93.0,26.0,Rendah,Sangat Tinggi,Sangat Tinggi
2866,2011-05-04,2,0,5,7,0,3,1,3,0.34,0.303,0.93,0.3582,6,46,52,13.9,93.0,24.0,Rendah,Sangat Tinggi,Sangat Tinggi
2867,2011-05-04,2,0,5,8,0,3,1,3,0.34,0.303,0.93,0.3881,5,74,79,13.9,93.0,26.0,Rendah,Sangat Tinggi,Sangat Tinggi
2868,2011-05-04,2,0,5,9,0,3,1,3,0.34,0.303,0.93,0.3582,5,35,40,13.9,93.0,24.0,Rendah,Sangat Tinggi,Sangat Tinggi
2869,2011-05-04,2,0,5,10,0,3,1,2,0.34,0.3182,0.93,0.2836,5,26,31,13.9,93.0,19.0,Rendah,Sangat Tinggi,Sangat Tinggi
2870,2011-05-04,2,0,5,11,0,3,1,1,0.4,0.4091,0.82,0.3284,3,69,72,16.4,82.0,22.0,Sedang,Sangat Tinggi,Sangat Tinggi
2871,2011-05-04,2,0,5,12,0,3,1,2,0.44,0.4394,0.62,0.3582,19,105,124,18.0,62.0,24.0,Sedang,Sedang,Sangat Tinggi
2872,2011-05-04,2,0,5,13,0,3,1,2,0.46,0.4545,0.59,0.4478,15,128,143,18.9,59.0,30.0,Sedang,Sedang,Sangat Tinggi
2873,2011-05-04,2,0,5,14,0,3,1,1,0.5,0.4848,0.51,0.3881,13,94,107,20.5,51.0,26.0,Sedang,Sedang,Sangat Tinggi
2874,2011-05-04,2,0,5,15,0,3,1,1,0.48,0.4697,0.51,0.4179,22,107,129,19.7,51.0,28.0,Sedang,Sedang,Sangat Tinggi
2875,2011-05-04,2,0,5,16,0,3,1,1,0.5,0.4848,0.45,0.4627,22,173,195,20.5,45.0,31.0,Sedang,Rendah,Sangat Tinggi
2876,2011-05-04,2,0,5,17,0,3,1,1,0.4,0.4091,0.71,0.2537,22,388,410,16.4,71.0,17.0,Sedang,Tinggi,Tinggi
2877,2011-05-04,2,0,5,18,0,3,1,1,0.42,0.4242,0.67,0.2537,29,367,396,17.2,67.0,17.0,Sedang,Tinggi,Tinggi
2878,2011-05-04,2,0,5,19,0,3,1,1,0.42,0.4242,0.58,0.3582,30,266,296,17.2,58.0,24.0,Sedang,Sedang,Sangat Tinggi
2879,2011-05-04,2,0,5,20,0,3,1,1,0.4,0.4091,0.62,0.3284,17,174,191,16.4,62.0,22.0,Sedang,Sedang,Sangat Tinggi
2880,2011-05-04,2,0,5,21,0,3,1,1,0.4,0.4091,0.62,0.1642,17,133,150,16.4,62.0,11.0,Sedang,Sedang,Sedang
2881,2011-05-04,2,0,5,22,0,3,1,1,0.38,0.3939,0.62,0.2239,9,80,89,15.6,62.0,15.0,Sedang,Sedang,Tinggi
2882,2011-05-04,2,0,5,23,0,3,1,1,0.36,0.3485,0.62,0.2239,8,49,57,14.8,62.0,15.0,Sedang,Sedang,Tinggi
2883,2011-05-05,2,0,5,0,0,4,1,1,0.36,0.3485,0.66,0.194,4,23,27,14.8,66.0,13.0,Sedang,Tinggi,Sedang
2884,2011-05-05,2,0,5,1,0,4,1,1,0.34,0.3333,0.71,0.194,4,6,10,13.9,71.0,13.0,Rendah,Tinggi,Sedang
2885,2011-05-05,2,0,5,2,0,4,1,1,0.34,0.3182,0.66,0.2239,1,4,5,13.9,66.0,15.0,Rendah,Tinggi,Tinggi
2886,2011-05-05,2,0,5,3,0,4,1,1,0.34,0.3182,0.66,0.2537,0,4,4,13.9,66.0,17.0,Rendah,Tinggi,Tinggi
2887,2011-05-05,2,0,5,4,0,4,1,1,0.34,0.3182,0.66,0.2537,4,3,7,13.9,66.0,17.0,Rendah,Tinggi,Tinggi
2888,2011-05-05,2,0,5,5,0,4,1,1,0.34,0.3182,0.66,0.2537,1,29,30,13.9,66.0,17.0,Rendah,Tinggi,Tinggi
2889,2011-05-05,2,0,5,6,0,4,1,1,0.34,0.3182,0.66,0.2537,3,86,89,13.9,66.0,17.0,Rendah,Tinggi,Tinggi
2890,2011-05-05,2,0,5,7,0,4,1,1,0.38,0.3939,0.58,0.2537,16,255,271,15.6,58.0,17.0,Sedang,Sedang,Tinggi
2891,2011-05-05,2,0,5,8,0,4,1,1,0.42,0.4242,0.5,0.2537,25,415,440,17.2,50.0,17.0,Sedang,Sedang,Tinggi
2892,2011-05-05,2,0,5,9,0,4,1,1,0.46,0.4545,0.44,0.2836,20,164,184,18.9,44.0,19.0,Sedang,Rendah,Sangat Tinggi
2893,2011-05-05,2,0,5,10,0,4,1,1,0.5,0.4848,0.39,0.2836,30,98,128,20.5,39.0,19.0,Sedang,Rendah,Sangat Tinggi
2894,2011-05-05,2,0,5,11,0,4,1,1,0.52,0.5,0.36,0.4478,43,105,148,21.3,36.0,30.0,Tinggi,Rendah,Sangat Tinggi
2895,2011-05-05,2,0,5,12,0,4,1,1,0.52,0.5,0.34,0.3582,27,169,196,21.3,34.0,24.0,Tinggi,Rendah,Sangat Tinggi
2896,2011-05-05,2,0,5,13,0,4,1,1,0.54,0.5152,0.3,0.5821,50,142,192,22.1,30.0,39.0,Tinggi,Rendah,Sangat Tinggi
2897,2011-05-05,2,0,5,14,0,4,1,1,0.54,0.5152,0.28,0.4478,19,135,154,22.1,28.0,30.0,Tinggi,Rendah,Sangat Tinggi
2898,2011-05-05,2,0,5,15,0,4,1,1,0.56,0.5303,0.26,0.4925,27,120,147,23.0,26.0,33.0,Tinggi,Rendah,Sangat Tinggi
2899,2011-05-05,2,0,5,16,0,4,1,1,0.58,0.5455,0.24,0.4179,36,233,269,23.8,24.0,28.0,Tinggi,Rendah,Sangat Tinggi
2900,2011-05-05,2,0,5,17,0,4,1,1,0.56,0.5303,0.26,0.3881,66,467,533,23.0,26.0,26.0,Tinggi,Rendah,Sangat Tinggi
2901,2011-05-05,2,0,5,18,0,4,1,1,0.56,0.5303,0.26,0.2836,64,456,520,23.0,26.0,19.0,Tinggi,Rendah,Sangat Tinggi
2902,2011-05-05,2,0,5,19,0,4,1,1,0.54,0.5152,0.28,0.2239,56,305,361,22.1,28.0,15.0,Tinggi,Rendah,Tinggi
2903,2011-05-05,2,0,5,20,0,4,1,1,0.5,0.4848,0.34,0.1642,33,225,258,20.5,34.0,11.0,Sedang,Rendah,Sedang
2904,2011-05-05,2,0,5,21,0,4,1,1,0.5,0.4848,0.36,0.194,39,141,180,20.5,36.0,13.0,Sedang,Rendah,Sedang
2905,2011-05-05,2,0,5,22,0,4,1,1,0.48,0.4697,0.39,0.194,30,135,165,19.7,39.0,13.0,Sedang,Rendah,Sedang
2906,2011-05-05,2,0,5,23,0,4,1,1,0.46,0.4545,0.41,0.194,16,99,115,18.9,41.0,13.0,Sedang,Rendah,Sedang
2907,2011-05-06,2,0,5,0,0,5,1,1,0.44,0.4394,0.44,0.1642,13,43,56,18.0,44.0,11.0,Sedang,Rendah,Sedang
2908,2011-05-06,2,0,5,1,0,5,1,1,0.4,0.4091,0.62,0.1642,8,24,32,16.4,62.0,11.0,Sedang,Sedang,Sedang
2909,2011-05-06,2,0,5,2,0,5,1,1,0.38,0.3939,0.62,0.1045,1,15,16,15.6,62.0,7.0,Sedang,Sedang,Rendah
2910,2011-05-06,2,0,5,3,0,5,1,1,0.36,0.3636,0.71,0.1045,3,6,9,14.8,71.0,7.0,Sedang,Tinggi,Rendah
2911,2011-05-06,2,0,5,4,0,5,1,1,0.36,0.3636,0.71,0.1045,0,1,1,14.8,71.0,7.0,Sedang,Tinggi,Rendah
2912,2011-05-06,2,0,5,5,0,5,1,1,0.34,0.3485,0.81,0.1045,0,16,16,13.9,81.0,7.0,Rendah,Sangat Tinggi,Rendah
2913,2011-05-06,2,0,5,6,0,5,1,1,0.36,0.3636,0.81,0.0896,8,74,82,14.8,81.0,6.0,Sedang,Sangat Tinggi,Rendah
2914,2011-05-06,2,0,5,7,0,5,1,1,0.4,0.4091,0.82,0.0,20,202,222,16.4,82.0,0.0,Sedang,Sangat Tinggi,Rendah
2915,2011-05-06,2,0,5,8,0,5,1,1,0.42,0.4242,0.77,0.2537,35,415,450,17.2,77.0,17.0,Sedang,Tinggi,Tinggi
2916,2011-05-06,2,0,5,9,0,5,1,1,0.46,0.4545,0.67,0.2836,27,161,188,18.9,67.0,19.0,Sedang,Tinggi,Sangat Tinggi
2917,2011-05-06,2,0,5,10,0,5,1,2,0.54,0.5152,0.49,0.3284,30,97,127,22.1,49.0,22.0,Tinggi,Sedang,Sangat Tinggi
2918,2011-05-06,2,0,5,11,0,5,1,2,0.54,0.5152,0.49,0.3284,42,123,165,22.1,49.0,22.0,Tinggi,Sedang,Sangat Tinggi
2919,2011-05-06,2,0,5,12,0,5,1,1,0.56,0.5303,0.49,0.3582,48,198,246,23.0,49.0,24.0,Tinggi,Sedang,Sangat Tinggi
2920,2011-05-06,2,0,5,13,0,5,1,1,0.58,0.5455,0.4,0.3284,71,182,253,23.8,40.0,22.0,Tinggi,Rendah,Sangat Tinggi
2921,2011-05-06,2,0,5,14,0,5,1,1,0.6,0.6212,0.4,0.4478,86,127,213,24.6,40.0,30.0,Tinggi,Rendah,Sangat Tinggi
2922,2011-05-06,2,0,5,15,0,5,1,1,0.6,0.6212,0.38,0.3881,89,171,260,24.6,38.0,26.0,Tinggi,Rendah,Sangat Tinggi
2923,2011-05-06,2,0,5,16,0,5,1,1,0.6,0.6212,0.4,0.2537,82,262,344,24.6,40.0,17.0,Tinggi,Rendah,Tinggi
2924,2011-05-06,2,0,5,17,0,5,1,1,0.58,0.5455,0.4,0.3582,83,470,553,23.8,40.0,24.0,Tinggi,Rendah,Sangat Tinggi
2925,2011-05-06,2,0,5,18,0,5,1,3,0.54,0.5152,0.52,0.3582,85,385,470,22.1,52.0,24.0,Tinggi,Sedang,Sangat Tinggi
2926,2011-05-06,2,0,5,19,0,5,1,3,0.54,0.5152,0.52,0.3582,39,253,292,22.1,52.0,24.0,Tinggi,Sedang,Sangat Tinggi
2927,2011-05-06,2,0,5,20,0,5,1,1,0.52,0.5,0.48,0.1045,29,161,190,21.3,48.0,7.0,Tinggi,Rendah,Rendah
2928,2011-05-06,2,0,5,21,0,5,1,1,0.48,0.4697,0.67,0.1343,22,130,152,19.7,67.0,9.0,Sedang,Tinggi,Sedang
2929,2011-05-06,2,0,5,22,0,5,1,1,0.46,0.4545,0.72,0.2239,46,105,151,18.9,72.0,15.0,Sedang,Tinggi,Tinggi
2930,2011-05-06,2,0,5,23,0,5,1,1,0.44,0.4394,0.82,0.1343,27,93,120,18.0,82.0,9.0,Sedang,Sangat Tinggi,Sedang
2931,2011-05-07,2,0,5,0,0,6,0,1,0.42,0.4242,0.82,0.1343,10,76,86,17.2,82.0,9.0,Sedang,Sangat Tinggi,Sedang
2932,2011-05-07,2,0,5,1,0,6,0,1,0.42,0.4242,0.82,0.1045,8,50,58,17.2,82.0,7.0,Sedang,Sangat Tinggi,Rendah
2933,2011-05-07,2,0,5,2,0,6,0,1,0.42,0.4242,0.82,0.0896,5,47,52,17.2,82.0,6.0,Sedang,Sangat Tinggi,Rendah
2934,2011-05-07,2,0,5,3,0,6,0,1,0.42,0.4242,0.77,0.0896,9,9,18,17.2,77.0,6.0,Sedang,Tinggi,Rendah
2935,2011-05-07,2,0,5,4,0,6,0,1,0.4,0.4091,0.82,0.1045,1,4,5,16.4,82.0,7.0,Sedang,Sangat Tinggi,Rendah
2936,2011-05-07,2,0,5,5,0,6,0,1,0.46,0.4545,0.59,0.1343,4,3,7,18.9,59.0,9.0,Sedang,Sedang,Sedang
2937,2011-05-07,2,0,5,6,0,6,0,1,0.42,0.4242,0.77,0.0896,1,12,13,17.2,77.0,6.0,Sedang,Tinggi,Rendah
2938,2011-05-07,2,0,5,7,0,6,0,1,0.48,0.4697,0.59,0.0,8,32,40,19.7,59.0,0.0,Sedang,Sedang,Rendah
2939,2011-05-07,2,0,5,8,0,6,0,1,0.52,0.5,0.52,0.194,19,96,115,21.3,52.0,13.0,Tinggi,Sedang,Sedang
2940,2011-05-07,2,0,5,9,0,6,0,1,0.54,0.5152,0.49,0.2836,54,164,218,22.1,49.0,19.0,Tinggi,Sedang,Sangat Tinggi
2941,2011-05-07,2,0,5,10,0,6,0,1,0.56,0.5303,0.49,0.2985,90,208,298,23.0,49.0,20.0,Tinggi,Sedang,Sangat Tinggi
2942,2011-05-07,2,0,5,11,0,6,0,1,0.56,0.5303,0.43,0.0,132,215,347,23.0,43.0,0.0,Tinggi,Rendah,Rendah
2943,2011-05-07,2,0,5,12,0,6,0,1,0.6,0.6212,0.4,0.194,129,244,373,24.6,40.0,13.0,Tinggi,Rendah,Sedang
2944,2011-05-07,2,0,5,13,0,6,0,1,0.6,0.6212,0.35,0.2836,196,240,436,24.6,35.0,19.0,Tinggi,Rendah,Sangat Tinggi
2945,2011-05-07,2,0,5,14,0,6,0,3,0.6,0.6212,0.35,0.1642,143,235,378,24.6,35.0,11.0,Tinggi,Rendah,Sedang
2946,2011-05-07,2,0,5,15,0,6,0,1,0.6,0.6212,0.38,0.2537,148,230,378,24.6,38.0,17.0,Tinggi,Rendah,Tinggi
2947,2011-05-07,2,0,5,16,0,6,0,1,0.6,0.6212,0.38,0.194,119,223,342,24.6,38.0,13.0,Tinggi,Rendah,Sedang
2948,2011-05-07,2,0,5,17,0,6,0,1,0.58,0.5455,0.4,0.2239,138,216,354,23.8,40.0,15.0,Tinggi,Rendah,Tinggi
2949,2011-05-07,2,0,5,18,0,6,0,1,0.58,0.5455,0.37,0.1642,114,175,289,23.8,37.0,11.0,Tinggi,Rendah,Sedang
2950,2011-05-07,2,0,5,19,0,6,0,1,0.56,0.5303,0.43,0.194,88,179,267,23.0,43.0,13.0,Tinggi,Rendah,Sedang
2951,2011-05-07,2,0,5,20,0,6,0,1,0.56,0.5303,0.43,0.1343,82,137,219,23.0,43.0,9.0,Tinggi,Rendah,Sedang
2952,2011-05-07,2,0,5,21,0,6,0,1,0.54,0.5152,0.49,0.2239,58,124,182,22.1,49.0,15.0,Tinggi,Sedang,Tinggi
2953,2011-05-07,2,0,5,22,0,6,0,1,0.54,0.5152,0.49,0.194,26,94,120,22.1,49.0,13.0,Tinggi,Sedang,Sedang
2954,2011-05-07,2,0,5,23,0,6,0,1,0.5,0.4848,0.59,0.1045,30,89,119,20.5,59.0,7.0,Sedang,Sedang,Rendah
2955,2011-05-08,2,0,5,0,0,0,0,2,0.5,0.4848,0.59,0.1045,22,78,100,20.5,59.0,7.0,Sedang,Sedang,Rendah
2956,2011-05-08,2,0,5,1,0,0,0,2,0.52,0.5,0.55,0.0,8,56,64,21.3,55.0,0.0,Tinggi,Sedang,Rendah
2957,2011-05-08,2,0,5,2,0,0,0,1,0.48,0.4697,0.63,0.0,17,42,59,19.7,63.0,0.0,Sedang,Sedang,Rendah
2958,2011-05-08,2,0,5,3,0,0,0,1,0.46,0.4545,0.72,0.0896,10,21,31,18.9,72.0,6.0,Sedang,Tinggi,Rendah
2959,2011-05-08,2,0,5,4,0,0,0,1,0.42,0.4242,0.82,0.0,2,8,10,17.2,82.0,0.0,Sedang,Sangat Tinggi,Rendah
2960,2011-05-08,2,0,5,5,0,0,0,2,0.44,0.4394,0.77,0.0,0,5,5,18.0,77.0,0.0,Sedang,Tinggi,Rendah
2961,2011-05-08,2,0,5,6,0,0,0,2,0.44,0.4394,0.82,0.0,2,4,6,18.0,82.0,0.0,Sedang,Sangat Tinggi,Rendah
2962,2011-05-08,2,0,5,7,0,0,0,2,0.46,0.4545,0.82,0.0,8,15,23,18.9,82.0,0.0,Sedang,Sangat Tinggi,Rendah
2963,2011-05-08,2,0,5,8,0,0,0,1,0.52,0.5,0.63,0.1343,28,58,86,21.3,63.0,9.0,Tinggi,Sedang,Sedang
2964,2011-05-08,2,0,5,9,0,0,0,1,0.56,0.5303,0.52,0.2239,48,112,160,23.0,52.0,15.0,Tinggi,Sedang,Tinggi
2965,2011-05-08,2,0,5,10,0,0,0,1,0.58,0.5455,0.49,0.1343,91,153,244,23.8,49.0,9.0,Tinggi,Sedang,Sedang
2966,2011-05-08,2,0,5,11,0,0,0,1,0.58,0.5455,0.49,0.0896,142,198,340,23.8,49.0,6.0,Tinggi,Sedang,Rendah
2967,2011-05-08,2,0,5,12,0,0,0,1,0.6,0.6212,0.46,0.0896,139,243,382,24.6,46.0,6.0,Tinggi,Rendah,Rendah
2968,2011-05-08,2,0,5,13,0,0,0,1,0.6,0.6212,0.49,0.1343,166,224,390,24.6,49.0,9.0,Tinggi,Sedang,Sedang
2969,2011-05-08,2,0,5,14,0,0,0,1,0.6,0.6212,0.49,0.0,126,240,366,24.6,49.0,0.0,Tinggi,Sedang,Rendah
2970,2011-05-08,2,0,5,15,0,0,0,1,0.6,0.6212,0.49,0.0,128,230,358,24.6,49.0,0.0,Tinggi,Sedang,Rendah
2971,2011-05-08,2,0,5,16,0,0,0,1,0.6,0.6212,0.46,0.1045,122,263,385,24.6,46.0,7.0,Tinggi,Rendah,Rendah
2972,2011-05-08,2,0,5,17,0,0,0,3,0.58,0.5455,0.49,0.2836,106,245,351,23.8,49.0,19.0,Tinggi,Sedang,Sangat Tinggi
2973,2011-05-08,2,0,5,18,0,0,0,1,0.58,0.5455,0.49,0.0,63,205,268,23.8,49.0,0.0,Tinggi,Sedang,Rendah
2974,2011-05-08,2,0,5,19,0,0,0,1,0.56,0.5303,0.64,0.0,61,178,239,23.0,64.0,0.0,Tinggi,Tinggi,Rendah
2975,2011-05-08,2,0,5,20,0,0,0,1,0.52,0.5,0.77,0.1343,42,132,174,21.3,77.0,9.0,Tinggi,Tinggi,Sedang
2976,2011-05-08,2,0,5,21,0,0,0,1,0.52,0.5,0.77,0.0896,32,95,127,21.3,77.0,6.0,Tinggi,Tinggi,Rendah
2977,2011-05-08,2,0,5,22,0,0,0,1,0.5,0.4848,0.88,0.0896,29,86,115,20.5,88.0,6.0,Sedang,Sangat Tinggi,Rendah
2978,2011-05-08,2,0,5,23,0,0,0,1,0.46,0.4545,0.88,0.0896,9,41,50,18.9,88.0,6.0,Sedang,Sangat Tinggi,Rendah
2979,2011-05-09,2,0,5,0,0,1,1,1,0.46,0.4545,0.82,0.0896,31,22,53,18.9,82.0,6.0,Sedang,Sangat Tinggi,Rendah
2980,2011-05-09,2,0,5,1,0,1,1,1,0.44,0.4394,0.88,0.0,25,8,33,18.0,88.0,0.0,Sedang,Sangat Tinggi,Rendah
2981,2011-05-09,2,0,5,2,0,1,1,1,0.44,0.4394,0.94,0.0,6,2,8,18.0,94.0,0.0,Sedang,Sangat Tinggi,Rendah
2982,2011-05-09,2,0,5,3,0,1,1,1,0.46,0.4545,0.82,0.0896,0,7,7,18.9,82.0,6.0,Sedang,Sangat Tinggi,Rendah
2983,2011-05-09,2,0,5,4,0,1,1,1,0.42,0.4242,0.82,0.1642,0,4,4,17.2,82.0,11.0,Sedang,Sangat Tinggi,Sedang
2984,2011-05-09,2,0,5,5,0,1,1,1,0.42,0.4242,0.77,0.1642,0,23,23,17.2,77.0,11.0,Sedang,Tinggi,Sedang
2985,2011-05-09,2,0,5,6,0,1,1,1,0.44,0.4394,0.72,0.2537,2,87,89,18.0,72.0,17.0,Sedang,Tinggi,Tinggi
2986,2011-05-09,2,0,5,7,0,1,1,1,0.48,0.4697,0.63,0.2537,16,221,237,19.7,63.0,17.0,Sedang,Sedang,Tinggi
2987,2011-05-09,2,0,5,8,0,1,1,1,0.52,0.5,0.55,0.2239,23,351,374,21.3,55.0,15.0,Tinggi,Sedang,Tinggi
2988,2011-05-09,2,0,5,9,0,1,1,1,0.54,0.5152,0.56,0.1642,36,142,178,22.1,56.0,11.0,Tinggi,Sedang,Sedang
2989,2011-05-09,2,0,5,10,0,1,1,1,0.56,0.5303,0.52,0.194,24,95,119,23.0,52.0,13.0,Tinggi,Sedang,Sedang
2990,2011-05-09,2,0,5,11,0,1,1,1,0.6,0.6212,0.46,0.2239,26,99,125,24.6,46.0,15.0,Tinggi,Rendah,Tinggi
2991,2011-05-09,2,0,5,12,0,1,1,1,0.6,0.6212,0.43,0.194,35,160,195,24.6,43.0,13.0,Tinggi,Rendah,Sedang
2992,2011-05-09,2,0,5,13,0,1,1,1,0.62,0.6212,0.38,0.2836,36,138,174,25.4,38.0,19.0,Tinggi,Rendah,Sangat Tinggi
2993,2011-05-09,2,0,5,14,0,1,1,1,0.62,0.6212,0.41,0.2239,44,118,162,25.4,41.0,15.0,Tinggi,Rendah,Tinggi
2994,2011-05-09,2,0,5,15,0,1,1,1,0.62,0.6212,0.41,0.2239,51,148,199,25.4,41.0,15.0,Tinggi,Rendah,Tinggi
2995,2011-05-09,2,0,5,16,0,1,1,1,0.64,0.6212,0.38,0.2239,49,255,304,26.2,38.0,15.0,Tinggi,Rendah,Tinggi
2996,2011-05-09,2,0,5,17,0,1,1,1,0.62,0.6212,0.38,0.2537,59,539,598,25.4,38.0,17.0,Tinggi,Rendah,Tinggi
2997,2011-05-09,2,0,5,18,0,1,1,1,0.62,0.6212,0.38,0.2985,66,458,524,25.4,38.0,20.0,Tinggi,Rendah,Sangat Tinggi
2998,2011-05-09,2,0,5,19,0,1,1,1,0.58,0.5455,0.43,0.194,45,339,384,23.8,43.0,13.0,Tinggi,Rendah,Sedang
2999,2011-05-09,2,0,5,20,0,1,1,1,0.54,0.5152,0.49,0.194,25,214,239,22.1,49.0,13.0,Tinggi,Sedang,Sedang
3000,2011-05-09,2,0,5,21,0,1,1,1,0.52,0.5,0.59,0.1343,28,128,156,21.3,59.0,9.0,Tinggi,Sedang,Sedang
3001,2011-05-09,2,0,5,22,0,1,1,1,0.52,0.5,0.68,0.0896,21,95,116,21.3,68.0,6.0,Tinggi,Tinggi,Rendah
3002,2011-05-09,2,0,5,23,0,1,1,1,0.5,0.4848,0.68,0.0896,16,45,61,20.5,68.0,6.0,Sedang,Tinggi,Rendah
3003,2011-05-10,2,0,5,0,0,2,1,1,0.48,0.4697,0.63,0.0,6,12,18,19.7,63.0,0.0,Sedang,Sedang,Rendah
